keroserene/snowflake	Go	296	censorship-circumvention,tor,webrtc	WebRTC Pluggable Transport - the original snowflake repo
oestradiol/NixOS	Shell	6		Security & Privacy Hardened + Gaming NixOS framework
Athena-OS/athena-nix	Nix	252	athenaos,cybersecurity,hacking,infosec,learning,linux	Athena OS Nix configuration files focused on Cybersecurity. Learn, practice and enjoy with any hacking tool!
flipperdevices/qFlipper	C++	1595		qFlipper — desktop application for updating Flipper Zero firmware via PC
gitleaks/gitleaks	Go	28019	ai-powered,ci-cd,cicd,cli,data-loss-prevention,devsecops	Find secrets with Gitleaks 🔑
netbirdio/netbird	Go	26777	golang,mesh,mesh-networks,nat-traversal,netbird,vpn	Connect your devices into a secure WireGuard®-based overlay network with SSO, MFA and granular access controls.
cli/cli	Go	45146	cli,git,github-api-v4,golang	GitHub’s official command line tool
jblanked/FlipperHTTP		831	bw16,flipper-zero,wifi-dev-board	Flipper Zero HTTP Library for the WiFi Developer Board, BW16, Raspberry Pi, and other ESP32 devices
GhostESP-Revival/GhostESP	C	789	embedded,esp-idf,esp32,flipperzero,network-security,wardriving	An open source platform for ESP32 devices.
data-privacy-stack/presidio	Python	9865	anonymization,data-anonymization,data-masking,data-obfuscation,data-privacy,data-redaction	An open-source framework for detecting, redacting, masking, and anonymizing sensitive data (PII) across text, images, and structured data. …
MSNightmare/GreatXML		585		GreatXML bitlocker bypass vulnerability
MSNightmare/RoguePlanet	C++	1502		RoguePlanet Windows Defender Vulnerability
platformio/platformio-core	Python	9326	arduino,arm,avr,build-system,cmsis,debugging	Your Gateway to Embedded Software Development Excellence :alien:
26zl/thinkpad-21b3-wifi-touchpad-drivers	Batchfile	1	lenovo,thinkpad,touchpad,wifi,windows-drivers	Offline Wi-Fi and touchpad drivers for reinstalling Windows on Lenovo ThinkPad machine type 21B3.
26zl/windows-setup	PowerShell	1	automation,bootstrap,cybersecurity,developer-tools,hyper-v,powershell	Personal Windows 11 Pro bootstrap script: winget + Scoop + official upstream installers; enables WSL2 (Debian), Sandbox and Hyper-V. A simp…
llvm/llvm-project	LLVM	39118		The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
itm4n/PrivescCheck	PowerShell	3870	pentest-tool,pentesting,privilege-escalation,windows,windows-privilege-escalation	Privilege Escalation Enumeration Script for Windows
CravateRouge/bloodyAD	Python	2235		BloodyAD is an Active Directory Privilege Escalation Framework
Oros42/IMSI-catcher	Python	4341	cellphones,frequency,gr-gsm,gsm,hackrf,imsi-catcher	This program show you IMSI numbers of cellphones around you.
karpathy/autoresearch	Python	89986		AI agents running research on single-GPU nanochat training automatically
tomato64/tomato64	C	156		Tomato Firmware for the x86_64 and arm64 architectures
26zl/repo-harden	Go	1	branch-protection,cli,dependabot,devsecops,forgejo,gitea	Audit repositories across GitHub, GitLab, Gitea, and Forgejo, with reversible GitHub hardening and bulk Actions control from one binary.
pidgin/pidgin		96	c,chat,chat-application,gtk,gtk2,gtk3	Project Website: https://pidgin.im/ Repository: https://keep.imfreedom.org/pidgin/pidgin
onionshare/onionshare	Python	7004	cross-platform,file-sharing,onion-service,onionshare,open-source,python	Securely and anonymously share files, host websites, and chat with friends using the Tor network
PurpleI2P/i2pd	C++	4117	anonymity,c-plus-plus,communication,cryptography,i2p,i2p-client	 🛡 I2P: End-to-End encrypted and anonymous Internet
Generator/Awesome-Android-TV-FOSS-Apps		1359	android,androidtv,foss,smarttv	A curated list of FOSS Android TV apps
bryanroscoe/shield_optimizer	Rust	814		
lc/gau	Go	5003	alienvault,gau,hacktoberfest,security,wayback-machine	Fetch known URLs from AlienVault's Open Threat Exchange, the Wayback Machine, and Common Crawl.
seerr-team/seerr	TypeScript	11797	docker,emby,jellyfin,movie,notifications,nzb	Open-source media request and discovery manager for Jellyfin, Plex, and Emby.
dishycentral-hub/WindowsDefenderHardening	PowerShell	284		Zero-Trust, rollback-safe Microsoft Defender hardening for Windows 10/11/Server. Full ASR enforcement, CIS/Microsoft/Paranoid presets, 100-…
NdoleStudio/httpsms	Go	3042	android-sms,android-sms-sender,httpsms,sms,sms-api,sms-gateway	Send and receive SMS messages using your Android phone programmatically via a simple HTTP API
zhaoxuya520/reverse-skill	PowerShell	7475		Reverse Engineering / Authorized Penetration Testing / Security Research Skill Router Pack AI-powered routing + On-demand toolchain bootstr…
